Symbol	Last Sale	Net Change	% Change	Market Cap	Volume					
BHVN	$137.43 	0.2	0.15%	9001838299	307112					
BIF	$14.16 	0.02	0.14%	1385542152	70301					
BIG	$43.08 	0.48	1.13%	1315674832	577597					
BIGC	$36.32 	-1.48	-3.92%	2601192455	1047537					
BIIB	$235.99 	1.8	0.77%	34665211105	775015					
BIO	$747.76 	-16.56	-2.17%	22371657908	65870					
BIRD	$16.77 	-2.28	-11.97%	2462614380	1578673					
BJ	$66.32 	1.33	2.05%	9017172803	870475					
BJRI	$35.70 	-0.36	-1.00%	831941876	182467					
BK	$58.46 	-0.06	-0.10%	48277499343	1810920					
BKCC	$4.08 	0.05	1.24%	301797979	365825					
BKD	$5.11 	-0.02	-0.39%	947201292	898845					
BKE	$41.35 	-0.62	-1.48%	2058542804	463189					
BKH	$69.53 	0.38	0.55%	4437423443	161457					
BKKT	$9.20 	-0.76	-7.63%	525911404	3833777					
BKNG	$2,386.91 	-7.6	-0.32%	98014842981	146034					
BKR	$24.58 	-0.04	-0.16%	21383814669	3180041					
BKT	$5.68 	0.01	0.18%	362629904	264888					
BKU	$42.37 	0.1	0.24%	3774770247	267019					
BL	$103.41 	-1.03	-0.99%	6065543539	179962					
BLBD	$15.15 	0.28	1.88%	484313685	106179					
BLD	$278.53 	-1.7	-0.61%	9170630331	173871					
BLDE	$8.32 	-0.37	-4.26%	586999521	1229099					
BLDR	$84.46 	0.15	0.18%	16174181892	1885259					
BLE	$15.31 	-0.01	-0.07%	745122666	77156					
BLFS	$39.86 	-1.48	-3.58%	1660046072	234858					
BLFY	$14.51 	-0.03	-0.21%	413861475	48784					
BLI	$17.95 	-0.79	-4.22%	1211170811	1073496					
BLK	$921.82 	-0.75	-0.08%	1.4004E+11	385185					
BLKB	$81.37 	-1.36	-1.64%	3920126687	97360					
BLL	$94.30 	2.38	2.59%	30543221363	1330031					
BLMN	$21.32 	0.07	0.33%	1902792240	1389287					
BLNK	$27.40 	-1.13	-3.96%	1156281397	1602099					
BLUE	$10.77 	-0.17	-1.55%	755055223	2512286					
BLW	$16.63 	-0.05	-0.30%	593178164	92448					
BLZE	$17.52 	-1.04	-5.60%	530856000	217528					
BMBL	$33.39 	-0.47	-1.39%	4315376356	869523					
BME	$48.19 	0.04	0.08%	612035264	11945					
BMI	$106.48 	-0.05	-0.05%	3114523815	73893					
BMRC	$37.19 	-0.2	-0.54%	595532953	31623					
BMRN	$89.43 	-1.26	-1.39%	16418760803	413753					
BMTC	$46.34 	0.25	0.54%	922204138	58854					
BMY	$62.35 	0.06	0.10%	1.38395E+11	6002242					
BNED	$6.58 	-0.17	-2.52%	342114256	512289					
BNFT	$10.68 	-0.13	-1.20%	357036501	142793					
BNGO	$3.08 	-0.255	-7.66%	889241135	12776558					
BNL	$24.81 	0.01	0.04%	4001025884	552891					
BNY	$14.71 	-0.03	-0.20%	362077559	38188					
BOAC	$9.77 	-0.03	-0.31%	741909375	47778					
BODY	$2.25 	-0.19	-7.79%	696304087	3512556					
BOE	$12.25 	0.05	0.41%	784310121	125249					
BOH	$84.18 	0.07	0.08%	3387833612	153991					
BOKF	$105.42 	0.42	0.40%	7231470861	98918					
BOMN	$28.73 	-0.6	-2.05%	851830480	77725					
BOOM	$39.91 	-0.71	-1.75%	747297988	71102					
BOOT	$122.64 	-0.95	-0.77%	3631245675	413181					
BOX	$27.39 	-0.32	-1.16%	4061923771	957865					
BPMC	$108.08 	-2.26	-2.05%	6359214715	202695					
BPMP	$15.54 	-0.02	-0.13%	1628507152	404381					
BPOP	$81.18 	-0.26	-0.32%	6482809120	163165					
BR	$183.96 	-0.52	-0.28%	21445701389	347675					
BRBR	$27.64 	-0.12	-0.43%	1093525964	290499					
BRC	$54.66 	0.37	0.68%	2833098257	77243					
BRKL	$16.23 	0.1	0.62%	1260090870	136548					
BRKR	$82.08 	-0.68	-0.82%	12447861032	370474					
BRLT	$16.60 	0.16	0.97%	1571438701	267321					
BRMK	$9.64 	-0.06	-0.62%	1279149367	1141146					
BRO	$69.34 	-0.12	-0.17%	19583477016	590628					
BRP	$35.54 	-0.78	-2.15%	3988092704	177102					
BRT	$22.61 	0.02	0.09%	412324258	32396					
BRW	$4.53 	-0.04	-0.88%	385317207	260049					
BRY	$8.35 	-0.18	-2.11%	668059694	212028					
BRZE	$72.72 	-3.43	-4.50%	6698210694	211790					
BSKY	$9.71 	0	0.00%	364125000	10					
BSM	$10.61 	-0.08	-0.75%	2213942525	258359					
BSRR	$27.80 	0.06	0.22%	428419795	20137					
BST	$49.19 	-0.53	-1.07%	1656635823	150500					
BSX	$43.24 	0.12	0.28%	61616674705	5515013					
BSY	$48.74 	-1.01	-2.03%	13761534341	582404					
BTAI	$21.80 	-0.25	-1.13%	609971521	320566					
BTO	$44.10 	0.32	0.73%	837334770	29063					
BTRS	$7.70 	-0.12	-1.54%	1257658364	701662					
BTT	$25.80 	-0.06	-0.23%	1819043732	54652					
BTU	$10.69 	-0.18	-1.66%	1365540600	2460068					
BTZ	$15.13 	0.01	0.07%	1414337255	189873					
BUI	$26.14 	0.31	1.20%	531149038	60513					
BUSE	$27.18 	-0.05	-0.18%	1513082985	79402					
BV	$14.03 	-0.02	-0.14%	1475956000	119145					
BVH	$35.01 	-0.72	-2.02%	734398958	68755					
BVS	$13.92 	-0.05	-0.36%	827378101	133957					
BW	$9.00 	-0.17	-1.85%	776345841	326024					
BWA	$44.91 	0.57	1.29%	10768127960	961059					
BWB	$17.69 	0.01	0.06%	496502081	19710					
BWXT	$48.18 	0.22	0.46%	4442291541	601444					
